frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
81,0,3.2,0.88,1,4.57,1.33,0.0,1.29,0.0,1.37,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
82,0,3.24,0.88,1,4.71,1.07,0.0,1.53,0.0,1.18,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
83,0,3.28,0.88,1,4.94,0.83,0.0,1.66,0.0,1.16,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
84,0,3.32,0.88,1,4.98,0.67,0.0,1.77,0.02,1.45,0.0,0.0,0.64,0.0,0.0,0.11,0.0,0.0,0.0,0.74,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
85,0,3.36,0.88,1,3.33,0.4,0.0,1.16,0.02,1.06,0.0,0.0,0.45,0.0,0.0,0.11,0.0,0.0,0.0,0.51,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
86,0,3.4,0.03,0,1.66,0.21,0.0,0.63,0.02,0.61,0.0,0.0,0.22,0.0,0.0,0.11,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0,3.44,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0,3.48,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0,3.52,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0,3.56,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0,3.6,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0,3.64,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0,3.68,0.03,0,0.42,0.0,0.29,0.7,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.13,0.02,0.69,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,3.72,0.98,1,0.82,0.0,0.66,1.29,0.0,0.0,0.0,0.04,0.37,0.33,0.0,0.31,0.02,1.4,0.0,0.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
95,0,3.76,0.98,1,1.45,0.0,0.85,1.8,0.0,0.0,0.0,0.14,0.69,0.55,0.0,0.53,0.02,1.99,0.0,0.51,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
96,0,3.8,0.98,1,1.76,0.0,0.87,1.57,0.0,0.11,0.0,0.29,0.83,0.54,0.0,0.68,0.09,2.0,0.0,0.77,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
97,0,3.84,0.98,1,2.2,0.13,0.7,1.52,0.0,0.11,0.0,0.36,0.87,0.47,0.0,0.88,0.09,2.01,0.0,1.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
98,0,3.88,0.88,1,1.58,0.13,0.51,1.01,0.0,0.11,0.0,0.26,0.56,0.26,0.0,0.65,0.09,1.43,0.0,1.08,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
99,0,3.92,0.03,0,0.84,0.13,0.19,0.54,0.0,0.0,0.0,0.11,0.28,0.14,0.0,0.37,0.0,0.73,0.0,0.65,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
100,0,3.96,0.03,0,0.72,0.21,0.03,0.4,0.02,0.0,0.0,0.18,0.19,0.0,0.0,0.44,0.0,0.69,0.0,0.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0,4.0,0.88,1,0.77,0.29,0.03,0.4,0.02,0.67,0.05,0.18,0.19,0.29,0.0,0.54,0.0,0.69,0.04,1.11,0.36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0,4.04,0.93,1,0.77,0.29,0.03,0.4,0.02,1.56,0.21,0.18,0.24,0.83,0.0,0.65,0.0,0.69,0.04,1.29,0.77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0,4.08,0.93,1,0.16,0.08,0.0,0.0,0.0,2.36,0.4,0.0,0.1,1.28,0.0,0.34,0.0,0.0,0.04,0.55,1.18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,4.12,0.93,1,0.24,0.0,0.0,0.0,0.0,2.45,0.46,0.0,0.17,1.37,0.0,0.27,0.0,0.0,0.0,0.49,1.18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
105,0,4.16,0.93,1,0.32,0.0,0.0,0.0,0.08,2.25,0.52,0.0,0.2,0.96,0.0,0.15,0.0,0.0,0.0,0.62,0.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
106,0,4.2,0.93,1,0.37,0.0,0.0,0.0,0.13,2.02,0.47,0.0,0.19,0.72,0.0,0.05,0.0,0.0,0.0,0.75,0.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
107,0,4.24,0.93,1,0.32,0.0,0.0,0.0,0.21,1.88,0.53,0.0,0.18,0.57,0.0,0.02,0.0,0.0,0.0,0.8,0.81,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
108,0,4.28,0.93,1,0.24,0.0,0.0,0.0,0.2,1.83,0.54,0.0,0.13,0.76,0.0,0.1,0.0,0.0,0.0,0.79,0.81,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
109,0,4.32,0.88,1,0.07,0.0,0.0,0.0,0.24,1.91,0.59,0.01,0.1,0.8,0.0,0.14,0.0,0.0,0.0,0.85,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
110,0,4.36,0.93,1,0.0,0.0,0.0,0.0,0.24,1.87,0.61,0.01,0.04,0.87,0.0,0.21,0.0,0.0,0.0,0.86,0.34,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
111,0,4.4,0.93,1,0.0,0.0,0.0,0.0,0.22,1.89,0.57,0.01,0.02,0.83,0.0,0.16,0.0,0.0,0.0,0.87,0.27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
112,0,4.44,0.93,1,0.0,0.0,0.0,0.0,0.18,1.78,0.57,0.0,0.0,0.77,0.0,0.14,0.0,0.0,0.0,0.88,0.27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
113,0,4.48,0.93,1,0.0,0.0,0.0,0.0,0.09,1.79,0.57,0.0,0.0,0.72,0.0,0.15,0.0,0.0,0.0,0.94,0.17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
114,0,4.52,0.93,1,0.0,0.0,0.0,0.0,0.06,1.69,0.53,0.0,0.0,0.73,0.0,0.17,0.0,0.0,0.0,0.91,0.06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
115,0,4.56,0.98,1,0.0,0.0,0.0,0.0,0.02,1.68,0.48,0.0,0.0,0.8,0.0,0.13,0.0,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
116,0,4.6,0.93,1,0.0,0.0,0.0,0.0,0.05,1.65,0.47,0.0,0.0,0.87,0.0,0.11,0.0,0.0,0.0,0.83,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
117,0,4.64,0.98,1,0.0,0.0,0.02,0.0,0.12,1.86,0.52,0.0,0.0,0.96,0.0,0.08,0.0,0.0,0.0,0.83,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
118,0,4.68,0.98,1,0.0,0.0,0.05,0.0,0.18,2.07,0.6,0.0,0.0,1.07,0.0,0.18,0.0,0.0,0.0,0.79,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
119,0,4.72,0.98,1,0.0,0.0,0.07,0.0,0.15,2.23,0.56,0.0,0.0,1.1,0.0,0.26,0.0,0.0,0.0,0.78,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
120,0,4.76,0.98,1,0.0,0.0,0.08,0.0,0.08,2.17,0.57,0.0,0.0,1.06,0.0,0.33,0.0,0.0,0.0,0.76,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
121,0,4.8,0.98,1,0.0,0.0,0.15,0.0,0.05,2.18,0.58,0.0,0.05,1.21,0.0,0.3,0.0,0.0,0.0,0.72,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
122,0,4.84,0.98,1,0.0,0.0,0.25,0.0,0.05,2.16,0.68,0.0,0.1,1.33,0.0,0.21,0.0,0.0,0.0,0.65,0.12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
123,0,4.88,0.98,1,0.0,0.0,0.31,0.0,0.05,2.27,0.68,0.0,0.14,1.48,0.0,0.14,0.0,0.0,0.0,0.56,0.23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
124,0,4.92,0.98,1,0.0,0.0,0.26,0.0,0.02,2.16,0.64,0.0,0.14,1.4,0.0,0.09,0.0,0.0,0.0,0.46,0.23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
125,0,4.96,0.98,1,0.0,0.0,0.23,0.0,0.02,2.14,0.55,0.0,0.16,1.29,0.0,0.08,0.0,0.0,0.0,0.41,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
126,0,5.0,0.98,1,0.0,0.06,0.25,0.0,0.0,2.1,0.59,0.0,0.2,1.14,0.0,0.04,0.0,0.0,0.0,0.33,0.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
127,0,5.04,0.98,1,0.0,0.06,0.3,0.0,0.0,2.22,0.61,0.0,0.21,1.04,0.0,0.14,0.0,0.0,0.03,0.3,0.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
128,0,5.08,0.98,1,0.0,0.06,0.32,0.0,0.0,2.21,0.68,0.0,0.21,0.95,0.0,0.21,0.0,0.0,0.03,0.21,0.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
129,0,5.12,0.98,1,0.05,0.0,0.25,0.0,0.0,2.04,0.62,0.0,0.21,0.9,0.0,0.26,0.0,0.0,0.07,0.15,0.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
130,0,5.16,0.98,1,0.22,0.1,0.38,0.0,0.0,1.97,0.57,0.0,0.21,0.82,0.0,0.25,0.0,0.0,0.04,0.09,0.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
131,0,5.2,0.98,1,0.38,0.1,0.44,0.0,0.0,1.94,0.53,0.0,0.26,0.94,0.0,0.24,0.0,0.0,0.04,0.12,0.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
132,0,5.24,0.98,1,0.44,0.1,0.5,0.0,0.0,2.04,0.51,0.0,0.29,0.95,0.0,0.35,0.0,0.0,0.02,0.09,0.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
133,0,5.28,0.98,1,0.36,0.0,0.4,0.0,0.0,2.13,0.44,0.0,0.3,0.94,0.0,0.38,0.0,0.0,0.05,0.05,0.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
134,0,5.32,0.98,1,0.41,0.0,0.4,0.0,0.0,2.11,0.39,0.0,0.24,0.85,0.0,0.45,0.0,0.0,0.14,0.04,0.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
135,0,5.36,0.93,1,0.54,0.0,0.51,0.0,0.0,2.01,0.43,0.0,0.16,0.82,0.0,0.41,0.0,0.0,0.12,0.04,0.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
136,0,5.4,0.98,1,0.53,0.0,0.55,0.0,0.0,1.96,0.5,0.0,0.07,0.73,0.0,0.37,0.0,0.0,0.22,0.13,0.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
137,0,5.44,0.98,1,0.34,0.0,0.54,0.0,0.0,1.86,0.46,0.0,0.02,0.63,0.0,0.31,0.0,0.0,0.23,0.19,0.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
138,0,5.48,0.98,1,0.27,0.0,0.53,0.0,0.0,1.98,0.25,0.0,0.01,0.63,0.0,0.22,0.0,0.0,0.33,0.24,0.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
139,0,5.52,0.98,1,0.18,0.0,0.51,0.0,0.0,1.87,0.1,0.0,0.01,0.82,0.0,0.24,0.0,0.0,0.31,0.17,0.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
140,0,5.56,0.98,1,0.16,0.0,0.51,0.0,0.0,1.97,0.07,0.0,0.02,0.86,0.0,0.19,0.0,0.0,0.37,0.06,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
141,0,5.6,0.98,1,0.0,0.0,0.45,0.0,0.0,1.78,0.07,0.0,0.04,0.87,0.0,0.29,0.0,0.0,0.36,0.02,0.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
142,0,5.64,0.98,1,0.0,0.0,0.53,0.0,0.0,1.83,0.1,0.0,0.09,0.81,0.0,0.25,0.0,0.0,0.34,0.0,0.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
143,0,5.68,0.98,1,0.0,0.0,0.54,0.0,0.0,1.93,0.08,0.0,0.12,0.88,0.0,0.28,0.0,0.0,0.34,0.0,0.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
144,0,5.72,0.98,1,0.0,0.0,0.51,0.0,0.0,2.12,0.1,0.0,0.17,1.01,0.0,0.34,0.0,0.0,0.33,0.02,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
145,0,5.76,0.98,1,0.0,0.0,0.39,0.0,0.0,2.19,0.16,0.0,0.13,1.1,0.0,0.4,0.0,0.0,0.32,0.02,0.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
146,0,5.8,0.98,1,0.0,0.0,0.34,0.0,0.0,2.06,0.19,0.0,0.12,1.12,0.0,0.4,0.0,0.0,0.24,0.02,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
147,0,5.84,0.98,1,0.0,0.0,0.22,0.0,0.02,1.81,0.23,0.0,0.11,1.08,0.0,0.34,0.0,0.0,0.28,0.0,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
148,0,5.88,0.98,1,0.0,0.0,0.27,0.0,0.05,1.64,0.18,0.0,0.15,1.12,0.0,0.31,0.0,0.0,0.32,0.0,0.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
149,0,5.92,0.98,1,0.0,0.0,0.25,0.0,0.05,1.47,0.17,0.0,0.15,1.17,0.0,0.3,0.0,0.0,0.41,0.0,0.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0,5.96,0.98,1,0.0,0.0,0.28,0.0,0.03,1.33,0.22,0.0,0.19,1.29,0.0,0.26,0.0,0.0,0.46,0.01,0.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0,6.0,0.98,1,0.0,0.0,0.22,0.0,0.0,1.24,0.29,0.0,0.22,1.26,0.0,0.24,0.0,0.0,0.48,0.01,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0,6.04,0.98,1,0.0,0.0,0.28,0.0,0.0,1.18,0.33,0.01,0.29,1.24,0.0,0.2,0.0,0.0,0.44,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0,6.08,0.98,1,0.0,0.0,0.36,0.0,0.01,1.32,0.37,0.05,0.32,1.13,0.0,0.2,0.0,0.0,0.35,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0,6.12,0.98,1,0.0,0.0,0.42,0.0,0.01,1.28,0.36,0.06,0.33,1.13,0.0,0.27,0.0,0.0,0.24,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0,6.16,0.98,1,0.0,0.0,0.53,0.0,0.01,1.34,0.39,0.09,0.38,1.09,0.0,0.36,0.0,0.0,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0,6.2,0.98,1,0.0,0.0,0.55,0.0,0.0,1.23,0.38,0.06,0.4,1.14,0.0,0.45,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0,6.24,0.98,1,0.0,0.0,0.55,0.0,0.0,1.16,0.43,0.05,0.44,1.16,0.0,0.34,0.0,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0,6.28,0.98,1,0.0,0.0,0.47,0.0,0.0,1.14,0.45,0.0,0.36,1.15,0.0,0.31,0.0,0.0,0.33,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0,6.32,0.98,1,0.0,0.0,0.38,0.0,0.0,1.05,0.47,0.1,0.37,1.04,0.0,0.2,0.0,0.0,0.5,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0,6.36,0.98,1,0.0,0.0,0.24,0.0,0.0,0.93,0.42,0.18,0.42,0.99,0.0,0.15,0.0,0.0,0.69,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0,6.4,0.98,1,0.0,0.0,0.06,0.0,0.0,0.7,0.26,0.31,0.49,1.17,0.0,0.04,0.0,0.0,0.78,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0,6.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.54,0.11,0.34,0.5,1.29,0.0,0.0,0.0,0.0,0.79,0.18,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,0,6.48,0.98,1,0.0,0.0,0.04,0.0,0.0,0.49,0.0,0.41,0.5,1.48,0.0,0.0,0.0,0.0,0.74,0.2,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,0,6.52,0.98,1,0.0,0.0,0.04,0.0,0.02,0.43,0.0,0.4,0.54,1.5,0.0,0.0,0.0,0.0,0.72,0.16,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165,0,6.56,0.98,1,0.0,0.0,0.04,0.0,0.07,0.53,0.0,0.52,0.57,1.67,0.0,0.06,0.0,0.0,0.6,0.16,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,0,6.6,0.98,1,0.0,0.0,0.0,0.0,0.07,0.35,0.0,0.62,0.58,1.71,0.0,0.06,0.0,0.0,0.45,0.24,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0,6.64,0.98,1,0.0,0.0,0.0,0.0,0.07,0.2,0.0,0.69,0.57,1.81,0.0,0.05,0.0,0.0,0.36,0.21,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0,6.68,0.98,1,0.0,0.0,0.02,0.0,0.02,0.06,0.0,0.67,0.59,1.85,0.0,0.05,0.0,0.0,0.4,0.11,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0,6.72,0.98,1,0.0,0.0,0.02,0.0,0.02,0.25,0.0,0.73,0.59,1.91,0.0,0.09,0.0,0.0,0.42,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
