frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
70,0,2.76,0.03,0,2.62,0.24,0.0,0.0,0.0,0.0,0.0,0.07,0.28,0.23,0.0,0.01,0.0,0.25,0.5,0.4,0.11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71,0,2.8,0.88,1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.24,0.48,0.0,0.05,0.01,0.22,0.36,0.1,0.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
72,0,2.84,0.88,1,4.06,0.0,0.05,0.0,0.0,0.26,0.0,0.32,0.28,0.69,0.0,0.11,0.04,0.42,0.48,0.1,0.47,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
73,0,2.88,0.88,1,4.17,0.13,0.13,0.0,0.0,0.72,0.0,0.31,0.23,0.66,0.0,0.2,0.06,0.42,0.35,0.0,0.52,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
74,0,2.92,0.98,1,4.22,0.42,0.25,0.19,0.0,1.28,0.0,0.15,0.31,0.44,0.0,0.15,0.05,0.33,0.17,0.0,0.52,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
75,0,2.96,0.98,1,4.16,0.73,0.25,0.39,0.0,1.68,0.0,0.06,0.33,0.23,0.0,0.09,0.02,0.24,0.05,0.0,0.44,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
76,0,3.0,0.98,1,4.03,0.88,0.17,0.68,0.0,1.75,0.0,0.0,0.22,0.03,0.0,0.0,0.0,0.15,0.0,0.06,0.28,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
77,0,3.04,0.98,1,4.08,0.94,0.06,0.85,0.0,1.72,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.09,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
78,0,3.08,0.98,1,4.24,1.07,0.0,0.89,0.0,1.55,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
79,0,3.12,0.98,1,4.43,1.31,0.0,0.98,0.0,1.61,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
80,0,3.16,0.98,1,4.42,1.39,0.0,1.01,0.0,1.55,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
